categorical_accuracy,loss,val_categorical_accuracy,val_loss
0.0320596107327,19.8447738696,0.0055212732229,19.2153383112
0.0301299202215,19.6653933244,0.00281476674109,18.8280532765
0.033129538155,19.4957276209,0.00454693088945,18.7128123469
0.0327856329134,19.3447303415,0.003572588556,18.485480035
0.0309132599365,19.2142245495,0.00378910907454,18.3535030049
0.0303400845278,19.1061113401,0.00303128725963,18.3394147188
0.030875048246,19.0016264065,0.00389736933381,18.1895035773
0.027493313372,18.8959676881,0.00389736933381,18.0486288132
0.0293083688074,18.8145383365,0.00454693088945,17.9371559582
0.0269010321308,18.7277194392,0.0067121360749,17.8456228466
0.026194115801,18.6505829307,0.00844430022326,17.7084393088
0.0258693164061,18.5790671262,0.010717765668,17.5936503791
0.0265953385741,18.5034550228,0.010717765668,17.5596334008
0.0256400462461,18.4325155046,0.00833603996399,17.5075538704
0.026881926287,18.3673467206,0.0114755874829,17.3893555274
0.027149408139,18.2986141813,0.0123416695571,17.2998606374
0.0275697367686,18.2304470837,0.0137490529357,17.301691154
0.0282575472446,18.162647511,0.0156977376107,17.1691905009
0.0286205583357,18.0997821548,0.0171051209651,17.1299681598
0.0304547196107,18.0233717945,0.019811627455,17.1825360898
0.0326518919796,17.9557602549,0.024142037842,17.0359101462
0.0366068022567,17.8849830238,0.0297715713242,16.9052395217
0.038479175225,17.8121376952,0.0310706944435,16.8865626468
0.0419182276548,17.7370097372,0.0417884601276,16.7586572116
0.0457393969795,17.6678107491,0.0501245001158,16.7169110382
0.0488154383097,17.5892420865,0.0613835671963,16.5970090131
0.0514329393253,17.5156272911,0.073292195797,16.5331177626
0.0555789080535,17.4439183699,0.0835769204876,16.4559553928
0.0607948042381,17.370916047,0.101439863405,16.4135577972
0.0653419957521,17.2994196476,0.105986794326,16.356002235
0.0723156298493,17.2310746034,0.111183286796,16.3405509596
0.0773977851371,17.1652604168,0.115297176688,16.2384870919
0.0808941550541,17.0980101284,0.124391038483,16.2595156607
0.0888421873544,17.027495833,0.125581901287,16.2313881079
0.0987772276816,16.9628817404,0.140521817268,16.1255258059
0.101069929311,16.8983610089,0.147450474039,16.0741067475
0.108024457516,16.8314278948,0.159250842316,16.052599074
0.109877724747,16.7794686034,0.146043090564,16.0719482929
0.118570885096,16.7280959946,0.147342213651,16.0145344682
0.126232329639,16.6742393489,0.162065609146,15.9460098279
0.129251053437,16.6208994052,0.17765508665,15.9217435951
0.137218191583,16.5652642113,0.188805893283,15.9355560818
0.142434087821,16.5132536597,0.174407278759,15.878731437
0.145892246056,16.4697511266,0.168452964411,15.8544639715
0.155789074799,16.4233594777,0.181985496933,15.8373683658
0.158597634255,16.3813043402,0.188914153615,15.8149850008
0.163679789568,16.3364028331,0.197358453967,15.7608391315
0.168246086954,16.2974832984,0.199848440011,15.761656115
0.177225835055,16.2689065999,0.210890986489,15.7750475323
0.18389377547,16.2292895669,0.215221396973,15.719636463
0.190638139418,16.1900661902,0.224640039707,15.706495284
0.19764998525,16.1597989916,0.212731411147,15.6847373813
0.196790222207,16.1224341722,0.233950422109,15.6567041829
0.205827287708,16.0887076105,0.241528640259,15.6638205102
0.21358426147,16.0675588733,0.236115627374,15.5949045933
0.219010321932,16.032734223,0.242502982655,15.6348165907
0.218016817854,16.0131486381,0.249323378892,15.5564772905
0.226748190081,15.9865077567,0.238280832382,15.6108561653
0.233148648679,15.9624092685,0.255602474124,15.5880779317
0.235689726232,15.9359006328,0.253653789295,15.5447668823
0.240045859321,15.9115732699,0.255602474003,15.5392064465
0.244325568946,15.8960186982,0.257875939633,15.5785695027
0.248165844252,15.8668846038,0.274764539854,15.4964197513
0.252827670805,15.8405631278,0.264804596146,15.517340184
0.258846012626,15.8283405218,0.266861541088,15.5032030898
0.259992363335,15.8078337215,0.284941004532,15.5249432235
0.267233479263,15.7898464077,0.278878429859,15.4559041366
0.268284300806,15.7722192882,0.280394073675,15.4708701762
0.27269775143,15.7513497822,0.28699794945,15.4430715305
0.281371805841,15.7393620059,0.305835234483,15.4534324461
0.280053502413,15.7205739621,0.293818345728,15.4699134166
0.284409635552,15.7009031074,0.302695687117,15.4403479667
0.286836078078,15.6927944624,0.314171274253,15.3940611399
0.293408489297,15.6749165587,0.322832095084,15.4223912437
0.293121901738,15.6671841149,0.307242617877,15.3721900762
0.295567450039,15.6459652653,0.31059868606,15.3804924762
0.299331301723,15.627391252,0.313846493556,15.3583261683
0.302483766393,15.6209731182,0.313954753751,15.3439992971
0.307011852393,15.6118435894,0.313629973142,15.3855481502
0.306228512547,15.6025231747,0.308866521581,15.3790696805
0.311501726256,15.5891098708,0.320775150174,15.3001262392
0.313660686977,15.5766447603,0.330410313297,15.3724573387
0.319048535675,15.5642511421,0.324672519653,15.3414240221
0.32313718702,15.5522770887,0.332358998222,15.3492986141
0.324054267565,15.5434950868,0.341019818512,15.3085056293
0.326996568106,15.5323922704,0.345241968818,15.2982621663
0.331104324931,15.5240591998,0.326188163008,15.2824863527
0.331734817948,15.5145519786,0.351304543337,15.3116776427
0.335250293736,15.5039616101,0.336256366975,15.2451277328
0.338517393498,15.4908294483,0.328461628969,15.291530615
0.339358050652,15.480519823,0.331817696619,15.2421682359
0.342071080867,15.4747055511,0.333766381641,15.2836125809
0.343370278706,15.4733844352,0.336148107289,15.2598240647
0.344803217248,15.4560742253,0.344700667465,15.2403252818
0.347076812649,15.450199582,0.322074273059,15.2614113955
0.349331302637,15.4426953515,0.332142478018,15.1947723361
0.349560573075,15.4413228203,0.324239478583,15.2618906961
0.354356140626,15.4254475875,0.334307682623,15.2555677125
0.353954917783,15.4180648495,0.341236339684,15.204157505
