loss,lr,val_loss
482.535385038,9.99999974738e-06,148.518275459
147.488086029,9.99999974738e-06,138.500256984
140.20003305,9.99999974738e-06,132.324636998
136.364353638,9.99999974738e-06,134.133045977
134.60405592,9.99999974738e-06,128.019909202
133.343656488,9.99999974738e-06,129.457492574
132.340163706,9.99999974738e-06,127.557462996
131.538833705,9.99999974738e-06,131.081632051
131.032486159,9.99999974738e-06,127.543882481
130.747501389,9.99999974738e-06,130.080515247
130.149039594,9.99999974738e-06,128.855281601
129.863533206,9.99999974738e-06,124.191941274
129.488643146,9.99999974738e-06,125.177543962
129.33158706,9.99999974738e-06,124.829918477
129.065998986,9.99999974738e-06,130.319802656
128.646557714,9.99999974738e-06,127.352652488
127.882396436,9.99999997475e-07,129.425648658
127.600069019,9.99999997475e-07,127.009707723
