categorical_accuracy,loss,val_categorical_accuracy,val_loss
0.0260221631753,19.6110040681,0.00227346544472,21.9693238937
0.026557126885,19.4287007537,0.0216520518626,20.4149230898
0.0304738254616,19.2015877936,0.0270650648343,19.7557517654
0.0321551399732,19.0245278467,0.0317202560072,19.3816609684
0.030550248844,18.8692674597,0.0437371448752,18.7777398473
0.0311425300966,18.7381051391,0.0467684320864,18.4000452029
0.0306839897765,18.6158831366,0.0566201156722,18.3199811142
0.0320022931955,18.5057705627,0.0512071027569,17.9291695129
0.0350401228252,18.3769435358,0.051640143765,17.8489402128
0.0387657629265,18.2440207219,0.0346432830076,17.8519896342
0.0463507840759,18.099350643,0.042762802453,17.5973377242
0.0567634705601,17.9494115923,0.0482840757114,17.3083065847
0.0681505552459,17.7977937442,0.0633322518261,17.1293501173
0.0810470018674,17.6489057012,0.084443002515,17.0803851966
0.0912877357272,17.5240314274,0.142795282771,16.8086084201
0.106190296286,17.4054009006,0.176247703067,16.6679560804
0.114978985842,17.2953061325,0.168019923491,16.7523701856
0.124512803453,17.1949582162,0.173541196738,16.6236232501
0.133721821648,17.0964204087,0.143120063673,16.5874759155
0.146102410429,17.0025441429,0.169968608303,16.4510652481
0.156438673566,16.9181945004,0.172675114684,16.486264481
0.165609480044,16.8344899554,0.186532428153,16.4124347911
0.17453191056,16.7533468142,0.189238934591,16.3905611217
0.182307990223,16.6817612776,0.19064631786,16.3856453093
0.187848685827,16.6172665544,0.216520520068,16.3148228017
0.195452812863,16.5495873124,0.203745809409,16.3241104076
0.201031720133,16.4909370584,0.211215767404,16.2947026141
0.209820409669,16.4344755383,0.229186970589,16.1524808509
0.219736344227,16.3788347694,0.260149404861,16.05554082
0.227283153615,16.3233421856,0.232867819509,16.1087410947
0.234772645723,16.2753812615,0.295225729211,15.8220089875
0.237810475278,16.2287639834,0.270650650277,15.9172743233
0.247554457138,16.1835906133,0.288405332861,15.8514069273
0.253687433871,16.1452303536,0.275305841489,15.8440297104
0.25603745312,16.102604877,0.255061172514,15.9448692836
0.266010705014,16.0541216944,0.245317749107,16.0044135851
0.276385179881,16.0246896133,0.288405332707,15.7783988133
0.279308374386,15.9863783737,0.321966012937,15.6122102176
0.28683607802,15.9501428697,0.303778289395,15.6793102966
0.286587702041,15.9222083134,0.294251386589,15.6516131474
0.292051974159,15.8849981472,0.282017977372,15.7062806301
0.301566685969,15.8579085321,0.273790197804,15.6391283519
0.305521596114,15.8315498556,0.301504824079,15.4957928432
0.308291943995,15.8016793455,0.30648479599,15.4948327495
0.314424920692,15.7677757448,0.288297072385,15.5728474925
0.315685906622,15.7505394451,0.295333989156,15.4442149109
0.32120749627,15.727079828,0.314820835752,15.3504115968
0.327990071853,15.6955496196,0.242936023274,15.8224493059
0.332747427846,15.6731041936,0.292627482926,15.4142916581
0.333549873222,15.6523102845,0.303994810075,15.2939833944
0.337963323892,15.6398727824,0.27433149885,15.4598138287
0.340943836063,15.6189159667,0.287755770936,15.3945554854
0.344841428794,15.5942698176,0.270325869298,15.414615227
0.345968673842,15.5762484392,0.283208840143,15.4093772331
0.352617508282,15.5553552417,0.290462277382,15.2780680574
0.354604516445,15.5501267025,0.274006718345,15.422753687
0.356687053692,15.5316522855,0.28569882608,15.4221459699
0.361711891444,15.5130142063,0.272707594847,15.3909093371
0.367271692957,15.4955876909,0.273248896183,15.4609867767
0.36595338954,15.4882174846,0.288405332903,15.2280778078
0.370462369268,15.4598492224,0.288297072789,15.2692282756
0.374493703095,15.4540379356,0.297282674048,15.2208432911
0.377722591365,15.4478574543,0.301071783099,15.3462071678
0.37967138742,15.4278912182,0.311464768175,15.2054806877
0.379384799913,15.4176360736,0.300963522849,15.1499211403
0.386090952164,15.4094481386,0.306051755122,15.1608897699
0.387103562269,15.3986465646,0.287755770942,15.2795379393
0.389109675906,15.3856443737,0.32597164282,15.0355160756
0.395299970371,15.3797973171,0.26090722678,15.5071895874
0.40089798353,15.3775975958,0.306701316381,15.1384063214
0.39671380307,15.3618198848,0.286889689336,15.284365288
0.400515866626,15.3541502191,0.307567398616,15.1423986207
0.397535354463,15.348787356,0.29977265977,15.1246060884
0.402923203341,15.3301910363,0.276713224569,15.3407684016
0.404642729535,15.3226121473,0.323373396565,15.1113124477
0.409228132732,15.3070721304,0.314712575743,15.1207096203
0.409037074401,15.3125851081,0.31676952105,15.1226016861
0.408884227541,15.2921890334,0.304536111396,15.1901065847
0.414635087379,15.287706919,0.31417127435,15.2238995
