categorical_accuracy,loss,val_categorical_accuracy,val_loss
0.580462734759,15.4191593294,0.578109775901,16.0960245104
0.596511339103,15.1529003313,0.581357583631,16.7034452063
0.596683288435,14.9678479205,0.533831330519,15.8268653344
0.596167440439,14.8547796281,0.563278120602,16.3503483701
0.595938174662,14.7605703865,0.556132943596,17.3622417078
0.595613381479,14.7203859888,0.545739958861,17.4734828433
0.596129229476,14.6968844161,0.593699253004,16.7947761581
0.59689344873,14.6727016279,0.572588502761,16.523338417
0.597906039243,14.6359994157,0.568041571939,18.2725582488
0.59744750769,14.5958051623,0.565443325755,17.4430261332
0.599510899677,14.6083158277,0.569232434773,18.403813996
0.601669819071,14.5827414572,0.566958969362,17.9253378207
0.600580806633,14.5594057896,0.563278120602,18.4172994867
0.603465734319,14.5220335865,0.623579084118,17.0807029408
